Unnamed: 0,Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity,Converted
127,c311a2fd-e180-411d-8eb6-b80f6a8c7c05,659221.0,Landing Page Submission,Organic Search,Yes,No,5.0,100.0,5.0,Page Visited on Website,India,Supply Chain Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,,No,No,Select,Mumbai,02.Medium,01.High,15.0,18.0,No,Yes,Modified,0.0
2278,5b36cb75-d505-48c4-a5a2-e19b12163f9e,637677.0,API,Olark Chat,No,No,0.0,0.0,0.0,Email Opened,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,16.0,15.0,No,No,Modified,0.0
4629,66e61feb-2276-4ba4-be1e-e9fabec1c28d,615386.0,Landing Page Submission,Google,No,No,5.0,763.0,5.0,SMS Sent,India,Human Resource Management,Other,,,No,No,No,No,No,No,No,No,,,No,No,,Other Cities,,,,,No,No,SMS Sent,1.0
7361,8a7c5dd4-14d5-4660-b7d7-4924d2e7622f,592984.0,API,Organic Search,No,No,2.0,61.0,2.0,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Select,Select,03.Low,02.Medium,10.0,15.0,No,No,SMS Sent,1.0
705,672b0ae4-afab-47e2-a35e-3a65d15514af,653222.0,API,Google,No,No,2.0,32.0,2.0,Converted to Lead,India,,,,,No,No,No,No,No,No,No,No,Interested in other courses,,No,No,,,02.Medium,02.Medium,13.0,15.0,No,No,Modified,0.0
2423,135a6d59-9a05-44d5-84d7-cb1c5829a4cd,636421.0,Landing Page Submission,Direct Traffic,No,No,3.0,190.0,1.5,Email Opened,India,Operations Management,,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,02.Medium,01.High,15.0,18.0,No,Yes,Email Opened,0.0
6866,9bc2686a-1e4e-4a58-a3e1-ef53221a44ee,596953.0,Landing Page Submission,Organic Search,No,No,3.0,1328.0,1.5,SMS Sent,Netherlands,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Mumbai,,,,,No,Yes,SMS Sent,0.0
3562,7bc9d09e-1947-4744-a7fb-e663b84886f9,626338.0,Landing Page Submission,Google,No,No,3.0,220.0,3.0,SMS Sent,India,Media and Advertising,Social Media,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Select,Mumbai,,,,,No,No,SMS Sent,1.0
3902,f6fee47a-8547-4864-83ce-71e0361bec28,622617.0,Landing Page Submission,Direct Traffic,No,No,4.0,234.0,4.0,Email Link Clicked,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Thane & Outskirts,,,,,No,Yes,Email Link Clicked,0.0
7321,bb2c1e72-432a-4a99-81c1-a2429564ff55,593282.0,Landing Page Submission,Direct Traffic,No,No,2.0,65.0,2.0,Page Visited on Website,India,Operations Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Worst,No,No,Select,Other Cities of Maharashtra,01.High,01.High,16.0,17.0,No,Yes,Modified,0.0
6341,e0ba4085-bda2-4d5b-9fae-837221334c03,601242.0,API,Olark Chat,Yes,No,0.0,0.0,0.0,Unsubscribed,,Hospitality Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,,No,No,Select,Other Cities,,,,,No,No,Unsubscribed,1.0
8659,ae615b6b-d606-41fc-9da3-6e0dba84b9b9,583681.0,Landing Page Submission,Organic Search,No,No,12.0,25.0,6.0,Page Visited on Website,India,Media and Advertising,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,19.0,No,Yes,Modified,0.0
595,6be74056-525d-11e6-96be-22000aa8e760,654184.0,Lead Import,Facebook,No,No,0.0,0.0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Not Sure,No,No,Select,Other Metro Cities,02.Medium,02.Medium,14.0,13.0,No,No,Modified,0.0
8275,6313aeca-04d1-4480-ab03-157443d986d6,586680.0,Landing Page Submission,Direct Traffic,No,No,2.0,41.0,2.0,SMS Sent,India,Human Resource Management,,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,02.Medium,01.High,13.0,18.0,No,Yes,Modified,0.0
4742,7e1bc8e7-5895-4e34-a08d-f29e64f3af87,614343.0,Landing Page Submission,Direct Traffic,No,No,3.0,1101.0,3.0,SMS Sent,India,Business Administration,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,,,,,No,Yes,SMS Sent,1.0
8871,d0be0023-2511-4621-8a66-972bf64cfa35,582244.0,Landing Page Submission,Direct Traffic,No,No,3.0,1513.0,3.0,Email Opened,India,Operations Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,Yes,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,02.Medium,01.High,15.0,18.0,No,No,Modified,1.0
4891,6bb358e2-802d-4fa7-a0a0-9e3b273eb241,613046.0,API,Olark Chat,No,No,0.0,0.0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,,,,,No,No,Email Opened,1.0
90,3f42389c-2201-4890-ae77-4958ae8982ad,659614.0,API,Organic Search,No,No,3.0,214.0,3.0,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,Modified,0.0
6171,9757ace3-0656-4400-b519-fe0e3c67599e,602438.0,Lead Add Form,Welingak Website,No,No,0.0,0.0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,Might be,No,No,Select,Mumbai,,,,,No,No,SMS Sent,1.0
4591,048b8495-b03c-4647-826e-3d994aa20362,615753.0,API,Google,No,No,6.0,1308.0,3.0,Email Opened,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Email Opened,0.0
7629,559042d2-080b-4f13-9703-faf4b19648ea,591282.0,API,Olark Chat,No,No,0.0,0.0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,16.0,15.0,No,No,Olark Chat Conversation,0.0
7869,236cfe5f-76c7-4f9d-82a7-9fe741303aea,589439.0,Landing Page Submission,Direct Traffic,No,No,4.0,1319.0,4.0,Email Opened,India,Business Administration,,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,02.Medium,01.High,14.0,18.0,No,Yes,Modified,1.0
437,d6530253-e4c6-49a8-ab81-06ffe9650439,655666.0,API,Olark Chat,No,No,0.0,0.0,0.0,Olark Chat Conversation,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Potential Lead,Select,02.Medium,02.Medium,15.0,16.0,No,No,Modified,0.0
8176,b3f4f976-a4ed-4862-83e9-30b4bd3c740a,587409.0,API,Organic Search,No,No,2.0,348.0,1.0,Olark Chat Conversation,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Not Sure,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,Modified,0.0
1870,7cdaadc4-0d7f-4525-b8af-049f0e2379bc,641412.0,API,Google,No,No,2.0,133.0,2.0,Olark Chat Conversation,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Modified,0.0
1401,4e5cae69-5632-4db3-af8f-7e1b2c9b552e,645333.0,API,Google,No,No,3.0,1459.0,3.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,Email Opened,1.0
6466,81fa3b12-2720-484f-9cd0-3c95a25b6249,600323.0,API,Olark Chat,No,No,0.0,0.0,0.0,SMS Sent,,International Business,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,,,,,No,No,SMS Sent,1.0
830,090754e0-f007-4b16-845c-641ce1237585,651713.0,API,Olark Chat,No,No,0.0,0.0,0.0,Email Opened,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,16.0,15.0,No,No,Modified,0.0
4304,52fc93b9-9bc6-4eec-8d55-81010968a932,618523.0,API,Olark Chat,No,No,0.0,0.0,0.0,Email Opened,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Email Opened,0.0
2624,497f1592-2954-4cac-bea9-eb8299b6bb13,634310.0,API,Direct Traffic,No,No,17.0,250.0,4.25,Form Submitted on Website,India,Human Resource Management,,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,02.Medium,02.Medium,15.0,16.0,No,Yes,Modified,0.0
2116,80a100f1-650b-4457-957d-fca6917d364e,639330.0,Landing Page Submission,Direct Traffic,No,No,3.0,1349.0,1.5,Email Opened,Singapore,Human Resource Management,Online Search,,,No,No,No,No,No,No,No,No,,,No,No,,Other Cities of Maharashtra,03.Low,01.High,12.0,17.0,No,Yes,Email Opened,0.0
2800,a380963f-0335-423a-8bb5-fa8d8938093d,632837.0,Landing Page Submission,Google,No,No,4.0,326.0,4.0,Email Opened,India,E-Business,Online Search,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,,,,,No,No,Email Opened,0.0
8641,fa959683-971e-44b9-8cb9-5e18adfc363f,583761.0,Lead Add Form,Welingak Website,No,No,0.0,0.0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Potential Lead,Select,02.Medium,01.High,15.0,17.0,No,No,Email Opened,1.0
3968,ef6d5ab6-0b99-4988-b946-da5a094076dd,622076.0,API,Google,No,No,2.0,253.0,1.0,Olark Chat Conversation,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Modified,0.0
4467,0d897f5e-6cc9-411d-bfd6-591acca6a979,616758.0,API,Google,No,No,2.0,71.0,2.0,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Select,,,,,No,No,SMS Sent,0.0
1526,8cdb848f-a689-4fe9-bc36-4c9dac8cccfe,644143.0,API,Google,No,No,4.0,152.0,4.0,View in browser link Clicked,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,,No,No,Select,Select,03.Low,02.Medium,11.0,15.0,No,No,Modified,0.0
5008,c8b05c02-e2d1-494c-8747-04325a9ff56d,611849.0,Landing Page Submission,Direct Traffic,No,No,2.0,272.0,2.0,Email Opened,India,Media and Advertising,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Might be,No,No,Select,Mumbai,,,,,No,Yes,Email Opened,0.0
3643,8771c12b-e3fe-48ce-a5e0-02058dc1c17e,625499.0,Landing Page Submission,Direct Traffic,No,No,2.0,1146.0,2.0,SMS Sent,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Other Metro Cities,,,,,No,Yes,SMS Sent,1.0
2918,3011d2a5-39c8-49b0-b865-a3d0f9b11dcd,631670.0,Lead Add Form,Reference,No,No,0.0,0.0,0.0,Email Link Clicked,,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Potential Lead,Mumbai,,,,,No,No,Email Link Clicked,1.0
2032,af7c7fd6-e5c3-4e17-819f-2eb55e534dd2,640035.0,Landing Page Submission,Google,No,No,9.0,128.0,4.5,Email Opened,India,Business Administration,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,13.0,20.0,No,Yes,Email Opened,1.0
7133,aced3c06-2f50-495b-b8c0-1152379f303c,594761.0,API,Olark Chat,No,No,0.0,0.0,0.0,Olark Chat Conversation,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Select,Select,01.High,02.Medium,17.0,15.0,No,No,Modified,0.0
1224,1eda09c3-6814-4bb5-b6d4-7aae803c7548,646858.0,API,Google,No,No,2.0,419.0,2.0,Email Opened,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,02.Medium,02.Medium,13.0,15.0,No,No,Email Opened,0.0
7123,3711d491-5d7d-4805-ae0a-c113cffce294,594848.0,API,Olark Chat,No,No,1.0,170.0,1.0,Form Submitted on Website,India,Human Resource Management,Other,,,No,No,No,No,No,No,No,No,,,No,No,,Other Cities,02.Medium,02.Medium,15.0,14.0,No,No,Modified,0.0
4394,36a4512d-4192-4eb3-833b-71545c334bc9,617630.0,Landing Page Submission,Google,No,No,8.0,348.0,8.0,Email Opened,India,Media and Advertising,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,,No,No,Select,Mumbai,,,,,No,No,Email Opened,0.0
6669,fef32ecc-a187-4141-9fd8-dbfb0a8dc55a,598712.0,Landing Page Submission,Organic Search,Yes,No,7.0,24.0,7.0,Email Bounced,India,IT Projects Management,,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,,,,,No,Yes,Modified,0.0
1016,1ecd610a-492f-42cc-895f-5db08a5efcae,649334.0,Landing Page Submission,Google,No,No,3.0,328.0,3.0,SMS Sent,India,"Banking, Investment And Insurance",Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Select,Thane & Outskirts,02.Medium,01.High,15.0,17.0,No,No,Modified,0.0
5410,b2f1689a-e1ca-495c-8c1c-2c2ec2484155,608369.0,Landing Page Submission,Direct Traffic,No,No,2.0,379.0,2.0,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Other Cities of Maharashtra,,,,,No,Yes,Email Opened,0.0
9089,3b033bea-d880-4273-b24c-860c36497b55,580694.0,API,Olark Chat,No,No,0.0,0.0,0.0,SMS Sent,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,16.0,15.0,No,No,Modified,1.0
1104,5551d1a0-25b4-4ce6-98c3-838dd46ecb1d,648219.0,Landing Page Submission,Google,No,No,2.0,277.0,2.0,Converted to Lead,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,,No,No,Select,Mumbai,02.Medium,02.Medium,13.0,15.0,No,No,Modified,0.0
5965,923c3c94-c8e7-491e-8fa8-478980a3f40e,604088.0,API,Olark Chat,No,No,0.0,0.0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,Email Opened,1.0
287,e3cd2172-9187-46a2-9414-45e4af314c63,657381.0,API,Referral Sites,No,No,1.0,213.0,1.0,Converted to Lead,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Other Leads,Select,02.Medium,02.Medium,14.0,13.0,No,No,Modified,0.0
7297,98706b37-b3ab-4a3d-84ac-8ddf41b065c8,593436.0,Landing Page Submission,Direct Traffic,No,No,4.0,1256.0,4.0,SMS Sent,India,Services Excellence,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,17.0,No,Yes,SMS Sent,1.0
5850,39cfb01e-170e-4e0f-87ab-66315afa828e,605056.0,Landing Page Submission,Direct Traffic,No,No,2.0,34.0,2.0,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,,No,No,Select,Mumbai,,,,,No,Yes,Email Opened,0.0
7786,07cabb8c-a286-4676-a1b8-c855b81ff771,590119.0,Landing Page Submission,Organic Search,Yes,No,2.0,71.0,2.0,Email Bounced,India,Finance Management,,,,No,No,No,No,No,No,No,No,,,No,No,,Other Metro Cities,02.Medium,02.Medium,14.0,16.0,No,No,Email Bounced,0.0
6392,935b887b-bed0-4d8b-9dbc-e5c0a4729db8,600913.0,Landing Page Submission,Direct Traffic,No,No,8.0,665.0,2.67,Email Opened,India,IT Projects Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Thane & Outskirts,,,,,No,No,Email Opened,0.0
6668,2d9a1b63-2cc7-48c4-8ab2-03a96716c2fa,598730.0,Landing Page Submission,Google,No,No,3.0,338.0,3.0,Email Opened,India,Human Resource Management,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Mumbai,,,,,No,No,Email Opened,0.0
6846,6a4afcd7-d867-462b-acaf-a4e413adc8a3,597212.0,API,Olark Chat,No,No,0.0,0.0,0.0,Page Visited on Website,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Page Visited on Website,0.0
7815,becfa8b9-c056-4e3c-a4ec-7c390f7ece3f,589850.0,Landing Page Submission,Organic Search,No,No,8.0,106.0,8.0,Email Opened,India,Travel and Tourism,,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,02.Medium,02.Medium,14.0,16.0,No,Yes,Modified,0.0
1833,230d7033-ebc0-48dc-9975-f2a1d045b302,641673.0,Landing Page Submission,Google,No,No,5.0,37.0,2.5,Form Submitted on Website,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,Not Sure,No,No,Select,Mumbai,03.Low,01.High,12.0,18.0,No,No,Modified,0.0
5261,509eb02b-36be-40cc-ae3c-4184746fed8a,609431.0,Landing Page Submission,Direct Traffic,No,No,10.0,360.0,2.5,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Other Metro Cities,,,,,No,Yes,Email Opened,0.0
2133,a3f58f39-7664-43ff-9d4f-1e7bb0e9216d,639249.0,API,Olark Chat,No,No,0.0,0.0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,SMS Sent,1.0
3554,8c9b809c-9911-4d4c-94f5-9082043c0fe7,626450.0,API,Olark Chat,No,No,0.0,0.0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Modified,0.0
4911,734aac96-224c-413a-aa4f-1ebbdbf810b3,612846.0,API,Google,No,No,4.0,452.0,1.33,Olark Chat Conversation,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Modified,0.0
6332,074e3617-420a-47da-9158-5cddd167b7ca,601334.0,Landing Page Submission,Google,No,No,5.0,583.0,5.0,SMS Sent,India,Finance Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,,,,,No,No,SMS Sent,1.0
7426,87fa2158-847e-456b-8eac-1eaf67675dbf,592590.0,API,Google,Yes,No,2.0,30.0,2.0,Email Bounced,India,Select,Select,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Might be,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Modified,0.0
4902,681f609a-e7fb-42b0-a779-431582455c98,612954.0,Lead Add Form,Reference,No,No,,1464.0,,,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Might be,No,No,Select,Select,,,,,No,No,Modified,1.0
8999,69ff5621-ae21-4b21-a37d-522f1b88625d,581371.0,API,Olark Chat,No,No,0.0,0.0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,02.Medium,02.Medium,15.0,16.0,No,No,Email Opened,1.0
8326,a9ecd64e-dc3e-4058-8637-fefd2cd72768,586315.0,Landing Page Submission,Direct Traffic,No,No,2.0,1099.0,2.0,Page Visited on Website,India,Supply Chain Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Select,Mumbai,01.High,01.High,16.0,18.0,No,Yes,Modified,1.0
3915,61709bad-b054-4c6f-8103-1b1f3707fd74,622513.0,API,Olark Chat,No,No,0.0,0.0,0.0,Email Opened,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Email Opened,0.0
7016,bdfeda7a-3aa0-46cb-b26b-215c46c0bf5a,595801.0,API,Olark Chat,No,No,0.0,0.0,0.0,SMS Sent,,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,SMS Sent,0.0
1797,19a808a7-408f-45cd-a3b0-9994120f4d11,641985.0,Landing Page Submission,Direct Traffic,No,No,4.0,360.0,4.0,Page Visited on Website,,"Banking, Investment And Insurance",Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,,No,No,Select,Mumbai,02.Medium,01.High,14.0,18.0,No,Yes,Modified,0.0
4241,9c1993f3-4ba7-4c30-86b9-2987ee8c6501,619228.0,Lead Add Form,Reference,No,No,0.0,0.0,0.0,SMS Sent,,"Banking, Investment And Insurance",Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,,,,,No,No,SMS Sent,1.0
8456,4a218ab7-1d61-42a9-90e3-f8a8420c4ebb,585344.0,API,Google,Yes,No,3.0,108.0,3.0,Unsubscribed,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Select,Select,03.Low,02.Medium,8.0,15.0,No,No,Modified,0.0
8648,21971f1f-fe8d-4f44-9cee-d0899b8aa74f,583735.0,Landing Page Submission,Direct Traffic,No,No,2.0,1019.0,2.0,SMS Sent,India,Finance Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Cities of Maharashtra,02.Medium,01.High,15.0,19.0,No,Yes,SMS Sent,1.0
712,122a1c7b-7e93-471a-b800-f012f8ffa3b0,653091.0,API,Google,No,No,1.0,151.0,1.0,Converted to Lead,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Modified,0.0
81,277ad6a6-4565-4a18-a1ff-e46e03f22663,659705.0,Lead Add Form,Welingak Website,No,No,,346.0,,,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Modified,1.0
7469,741477db-39dd-492a-a1d9-88b03af76deb,592343.0,Landing Page Submission,Direct Traffic,No,No,10.0,1798.0,5.0,SMS Sent,India,Travel and Tourism,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,18.0,No,No,SMS Sent,1.0
1245,1f666297-2a79-4ff8-ac25-197d804ce415,646697.0,API,Olark Chat,No,No,0.0,0.0,0.0,Email Opened,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,17.0,15.0,No,No,Email Opened,0.0
5881,99bedb08-a5d3-470c-93e4-4e60330836b4,604843.0,API,Google,No,No,2.0,89.0,2.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,Email Opened,0.0
5372,dabf5fc2-9b78-402f-8c7a-c7ea6c66941f,608628.0,Landing Page Submission,Google,No,No,6.0,1803.0,3.0,Page Visited on Website,India,Finance Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Select,Other Cities of Maharashtra,,,,,No,No,Page Visited on Website,1.0
4097,ae103776-db17-4c0f-b939-001b427ca11d,620632.0,Landing Page Submission,Direct Traffic,Yes,No,1.0,97.0,1.0,Email Bounced,India,,,Student,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,,,,,No,No,Modified,0.0
2795,bc591eda-6f9f-4639-95f6-4d8e504c310c,632870.0,Landing Page Submission,Google,No,No,4.0,257.0,2.0,Email Opened,India,Marketing Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Mumbai,,,,,No,No,Email Opened,0.0
2474,9e7557dd-0156-4ba3-a844-d7b210603497,635923.0,API,Olark Chat,No,No,0.0,0.0,0.0,Email Opened,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,02.Medium,02.Medium,15.0,15.0,No,No,Modified,1.0
9187,4f465f71-1946-414e-9716-4847c60606e8,579979.0,API,Olark Chat,No,No,0.0,0.0,0.0,SMS Sent,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,16.0,15.0,No,No,SMS Sent,1.0
1058,6a02edb6-bda2-40ea-9b9d-b401608ca07e,648886.0,API,Olark Chat,No,No,0.0,0.0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,17.0,15.0,No,No,Olark Chat Conversation,0.0
4278,61eb8da1-f92c-40da-8ff5-87fc6b4f0143,618917.0,Landing Page Submission,Direct Traffic,No,No,2.0,454.0,2.0,Email Opened,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Mumbai,,,,,No,Yes,Email Opened,1.0
96,7f0c404f-3b2d-4d0e-b5e6-cc5bb0bab65d,659555.0,Landing Page Submission,Google,No,No,2.0,511.0,2.0,Form Submitted on Website,India,Healthcare Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),,No,No,Select,Mumbai,03.Low,02.Medium,9.0,15.0,No,No,Modified,0.0
6196,da78a5d9-cb64-478e-acd5-91ea7d42a76e,602292.0,API,Olark Chat,No,No,0.0,0.0,0.0,Olark Chat Conversation,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Student of SomeSchool,Select,,,,,No,No,Olark Chat Conversation,0.0
6964,be7c9c8a-f114-4ecd-af47-01c3f35e33fb,596193.0,Landing Page Submission,Direct Traffic,No,No,3.0,206.0,1.5,Email Opened,India,International Business,Select,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Might be,No,No,Student of SomeSchool,Mumbai,02.Medium,01.High,13.0,18.0,No,Yes,Email Opened,0.0
